time,moisture0,moisture1,moisture2,moisture3,moisture4
144,0.21,0.32,0.3,0.1,0.02
145,0.21,0.33,0.3,0.1,0.02
146,0.21,0.32,0.32,0.1,0.02
147,0.21,0.33,0.31,0.1,0.02
148,0.21,0.33,0.3,0.1,0.02
149,0.21,0.32,0.3,0.1,0.02
150,0.21,0.32,0.3,0.1,0.02
151,0.21,0.31,0.3,0.1,0.02
152,0.21,0.31,0.3,0.1,0.02
153,0.23,0.32,0.31,0.12,0.03
154,0.21,0.32,0.3,0.1,0.02
155,0.21,0.32,0.31,0.1,0.02
156,0.21,0.32,0.31,0.1,0.02
157,0.21,0.32,0.31,0.1,0.02
158,0.21,0.31,0.31,0.1,0.02
159,0.21,0.31,0.31,0.1,0.02
160,0.21,0.31,0.31,0.1,0.02
161,0.21,0.31,0.31,0.1,0.02
162,0.21,0.31,0.31,0.1,0.02
163,0.21,0.31,0.33,0.13,0.03
164,0.21,0.31,0.3,0.1,0.02
165,0.21,0.31,0.31,0.1,0.02
166,0.2,0.31,0.31,0.1,0.02
167,0.2,0.31,0.31,0.1,0.02
168,0.21,0.31,0.31,0.1,0.02
169,0.21,0.32,0.31,0.1,0.02
170,0.2,0.33,0.31,0.1,0.02
171,0.2,0.36,0.31,0.1,0.02
172,0.21,0.38,0.31,0.1,0.02
173,0.2,0.39,0.31,0.1,0.02
174,0.23,0.39,0.32,0.11,0.03
175,0.2,0.38,0.31,0.1,0.02
176,0.21,0.38,0.31,0.1,0.02
177,0.2,0.36,0.31,0.1,0.02
178,0.21,0.33,0.31,0.1,0.02
179,0.2,0.38,0.31,0.1,0.02
180,0.21,0.38,0.31,0.1,0.02
181,0.2,0.34,0.31,0.1,0.02
182,0.21,0.37,0.31,0.1,0.02
183,0.2,0.37,0.31,0.1,0.02
184,0.21,0.38,0.31,0.13,0.03
185,0.2,0.38,0.31,0.1,0.02
186,0.2,0.33,0.31,0.1,0.02
187,0.2,0.34,0.31,0.1,0.02
188,0.21,0.37,0.31,0.1,0.02
189,0.21,0.38,0.31,0.1,0.02
190,0.21,0.39,0.31,0.1,0.02
191,0.21,0.36,0.31,0.11,0.02
192,0.21,0.37,0.31,0.12,0.02
193,0.21,0.37,0.32,0.12,0.02
194,0.2,0.37,0.31,0.11,0.02
195,0.23,0.37,0.32,0.12,0.03
196,0.21,0.34,0.31,0.11,0.02
197,0.21,0.4,0.31,0.11,0.02
198,0.21,0.37,0.32,0.11,0.02
199,0.21,0.38,0.31,0.1,0.02
200,0.21,0.37,0.32,0.11,0.02
201,0.21,0.37,0.32,0.11,0.02
202,0.2,0.39,0.32,0.11,0.02
203,0.21,0.37,0.32,0.11,0.02
204,0.2,0.38,0.31,0.11,0.02
205,0.2,0.41,0.34,0.13,0.03
206,0.2,0.39,0.31,0.11,0.02
207,0.2,0.39,0.31,0.11,0.02
208,0.21,0.38,0.32,0.11,0.02
209,0.2,0.38,0.31,0.11,0.02
210,0.21,0.38,0.31,0.11,0.02
211,0.21,0.39,0.31,0.11,0.02
212,0.21,0.39,0.32,0.11,0.02
213,0.21,0.4,0.32,0.11,0.02
214,0.21,0.39,0.31,0.11,0.02
215,0.21,0.38,0.31,0.11,0.02
216,0.21,0.39,0.31,0.11,0.02
217,0.21,0.39,0.31,0.11,0.02
218,0.21,0.39,0.32,0.11,0.02
219,0.21,0.34,0.32,0.11,0.02
220,0.21,0.34,0.32,0.11,0.02
221,0.21,0.34,0.32,0.11,0.02
222,0.21,0.35,0.31,0.11,0.02
223,0.21,0.37,0.31,0.11,0.02
224,0.21,0.39,0.31,0.11,0.02
225,0.2,0.4,0.31,0.11,0.03
226,0.21,0.38,0.34,0.13,0.04
227,0.2,0.4,0.32,0.11,0.02
228,0.21,0.39,0.31,0.11,0.02
229,0.21,0.36,0.31,0.11,0.02
230,0.2,0.39,0.31,0.11,0.02
231,0.2,0.36,0.32,0.11,0.02
232,0.2,0.39,0.31,0.11,0.02
233,0.2,0.39,0.32,0.11,0.02
234,0.2,0.39,0.32,0.12,0.02
235,0.2,0.36,0.32,0.13,0.02
236,0.2,0.38,0.32,0.12,0.02
237,0.22,0.37,0.33,0.13,0.03
238,0.2,0.4,0.32,0.11,0.02
239,0.2,0.36,0.32,0.11,0.02
240,0.2,0.4,0.32,0.11,0.02
241,0.2,0.39,0.32,0.11,0.02
242,0.2,0.39,0.32,0.11,0.02
243,0.2,0.39,0.32,0.11,0.02
244,0.2,0.39,0.32,0.11,0.02
245,0.2,0.39,0.32,0.11,0.02
246,0.2,0.39,0.32,0.11,0.02
247,0.2,0.39,0.35,0.14,0.04
248,0.2,0.41,0.32,0.11,0.02
249,0.2,0.4,0.32,0.11,0.02
250,0.2,0.4,0.32,0.11,0.02
251,0.2,0.38,0.32,0.11,0.02
252,0.2,0.37,0.32,0.11,0.02
253,0.2,0.39,0.32,0.11,0.02
254,0.2,0.39,0.32,0.11,0.02
255,0.2,0.37,0.32,0.11,0.02
256,0.2,0.38,0.32,0.11,0.02
257,0.2,0.37,0.32,0.11,0.02
258,0.2,0.37,0.32,0.11,0.02
259,0.2,0.4,0.32,0.11,0.02
260,0.2,0.4,0.32,0.11,0.02
261,0.2,0.39,0.32,0.11,0.02
262,0.2,0.41,0.32,0.11,0.02
263,0.2,0.38,0.32,0.11,0.02
264,0.2,0.38,0.32,0.11,0.02
265,0.2,0.38,0.32,0.11,0.02
266,0.2,0.39,0.32,0.11,0.02
267,0.2,0.37,0.32,0.11,0.02
268,0.2,0.44,0.34,0.14,0.04
269,0.2,0.39,0.32,0.12,0.02
270,0.2,0.39,0.32,0.12,0.02
271,0.2,0.39,0.32,0.12,0.02
272,0.2,0.39,0.32,0.11,0.02
273,0.2,0.37,0.33,0.11,0.03
274,0.2,0.39,0.32,0.11,0.02
275,0.21,0.38,0.32,0.12,0.02
276,0.21,0.37,0.32,0.12,0.02
277,0.21,0.38,0.32,0.12,0.02
278,0.21,0.39,0.32,0.12,0.02
279,0.21,0.38,0.32,0.12,0.02
280,0.21,0.37,0.32,0.12,0.02
281,0.21,0.37,0.32,0.12,0.02
282,0.21,0.38,0.32,0.11,0.02
283,0.21,0.39,0.32,0.11,0.02
284,0.21,0.36,0.32,0.11,0.02
285,0.21,0.39,0.32,0.12,0.02
286,0.21,0.39,0.32,0.12,0.02
287,0.21,0.38,0.32,0.12,0.02
288,0.21,0.37,0.32,0.12,0.02
289,0.21,0.39,0.35,0.15,0.03
290,0.21,0.39,0.32,0.13,0.02
291,0.21,0.39,0.32,0.13,0.02
292,0.21,0.38,0.32,0.12,0.02
293,0.21,0.37,0.32,0.12,0.02
294,0.21,0.38,0.32,0.12,0.02
295,0.21,0.38,0.32,0.12,0.02
296,0.21,0.39,0.32,0.12,0.02
297,0.21,0.38,0.32,0.13,0.02
298,0.21,0.39,0.32,0.13,0.02
299,0.21,0.39,0.32,0.13,0.02
300,0.21,0.4,0.32,0.13,0.02
301,0.21,0.38,0.32,0.13,0.02
302,0.21,0.39,0.32,0.12,0.02
303,0.2,0.38,0.32,0.13,0.02
304,0.21,0.35,0.32,0.12,0.02
305,0.21,0.35,0.32,0.13,0.02
306,0.21,0.36,0.32,0.12,0.02
307,0.2,0.38,0.32,0.13,0.02
308,0.2,0.4,0.32,0.13,0.02
309,0.2,0.38,0.32,0.13,0.02
310,0.2,0.41,0.34,0.15,0.03
311,0.21,0.4,0.32,0.12,0.02
312,0.2,0.39,0.32,0.12,0.02
313,0.21,0.38,0.32,0.13,0.02
314,0.2,0.39,0.32,0.12,0.02
315,0.2,0.38,0.32,0.12,0.02
316,0.2,0.38,0.32,0.12,0.02
317,0.21,0.38,0.32,0.12,0.02
318,0.2,0.38,0.32,0.12,0.02
319,0.2,0.39,0.32,0.12,0.02
320,0.2,0.4,0.32,0.12,0.02
321,0.21,0.39,0.32,0.12,0.02
322,0.21,0.38,0.32,0.12,0.02
323,0.21,0.39,0.32,0.13,0.02
324,0.21,0.39,0.32,0.13,0.03
325,0.21,0.38,0.33,0.13,0.03
326,0.21,0.38,0.33,0.13,0.03
327,0.21,0.37,0.33,0.13,0.03
328,0.21,0.38,0.33,0.13,0.03
329,0.21,0.36,0.33,0.13,0.03
330,0.21,0.36,0.33,0.13,0.03
331,0.27,0.39,0.35,0.15,0.05
332,0.21,0.37,0.33,0.12,0.03
333,0.21,0.39,0.33,0.13,0.03
334,0.21,0.39,0.33,0.13,0.03
335,0.21,0.4,0.32,0.13,0.03
336,0.21,0.36,0.33,0.13,0.03
337,0.21,0.36,0.32,0.13,0.03
338,0.21,0.37,0.32,0.13,0.03
339,0.21,0.4,0.32,0.13,0.03
340,0.21,0.4,0.32,0.13,0.03
341,0.21,0.37,0.32,0.13,0.03
342,0.21,0.37,0.32,0.13,0.03
343,0.21,0.39,0.32,0.13,0.03
344,0.21,0.36,0.33,0.14,0.04
345,0.21,0.37,0.32,0.13,0.03
346,0.21,0.37,0.32,0.13,0.03
347,0.21,0.38,0.32,0.13,0.03
348,0.21,0.38,0.32,0.13,0.03
349,0.21,0.37,0.32,0.13,0.04
350,0.21,0.38,0.32,0.13,0.04
351,0.21,0.38,0.32,0.13,0.03
352,0.21,0.4,0.35,0.16,0.05
353,0.21,0.4,0.32,0.13,0.03
354,0.21,0.38,0.32,0.13,0.03
355,0.21,0.37,0.32,0.13,0.03
356,0.21,0.37,0.33,0.13,0.03
357,0.22,0.65,0.33,0.13,0.04
358,0.22,0.82,0.33,0.13,0.04
359,0.22,0.85,0.33,0.13,0.04
360,0.22,0.86,0.33,0.13,0.04
361,0.22,0.88,0.33,0.13,0.04
362,0.22,0.87,0.33,0.13,0.04
363,0.22,0.87,0.33,0.13,0.04
364,0.22,0.88,0.33,0.13,0.04
365,0.22,0.89,0.34,0.13,0.04
366,0.22,0.91,0.34,0.13,0.04
367,0.22,0.9,0.34,0.13,0.04
368,0.22,0.91,0.34,0.13,0.04
369,0.22,0.93,0.34,0.13,0.04
370,0.22,0.92,0.34,0.13,0.04
371,0.22,0.93,0.34,0.13,0.04
372,0.22,0.92,0.33,0.13,0.04
373,0.27,0.92,0.35,0.15,0.05
374,0.21,0.92,0.34,0.13,0.04
375,0.21,0.93,0.34,0.13,0.04
376,0.21,0.93,0.34,0.13,0.04
377,0.21,0.93,0.34,0.13,0.03
378,0.21,0.95,0.33,0.13,0.03
379,0.21,0.95,0.33,0.13,0.04
380,0.21,0.95,0.33,0.13,0.04
381,0.21,0.94,0.33,0.13,0.04
382,0.21,0.94,0.33,0.13,0.03
383,0.21,0.94,0.33,0.13,0.03
384,0.21,0.94,0.33,0.13,0.04
385,0.21,0.95,0.33,0.13,0.04
386,0.21,0.95,0.33,0.13,0.03
387,0.21,0.95,0.33,0.13,0.04
388,0.21,0.95,0.33,0.13,0.04
389,0.21,0.95,0.33,0.13,0.03
390,0.21,0.95,0.33,0.13,0.03
391,0.21,0.95,0.34,0.13,0.04
392,0.21,0.95,0.34,0.12,0.03
393,0.21,0.95,0.34,0.12,0.03
394,0.25,0.95,0.35,0.14,0.05
395,0.21,0.95,0.34,0.13,0.03
396,0.21,0.95,0.34,0.13,0.04
397,0.21,0.95,0.34,0.13,0.04
398,0.21,0.95,0.35,0.13,0.04
399,0.21,0.95,0.35,0.13,0.04
400,0.21,0.95,0.35,0.13,0.04
401,0.21,0.95,0.35,0.13,0.04
402,0.21,0.95,0.35,0.13,0.04
403,0.21,0.95,0.35,0.13,0.04
404,0.21,0.95,0.35,0.13,0.05
405,0.21,0.95,0.35,0.13,0.04
406,0.21,0.95,0.35,0.13,0.04
407,0.21,0.95,0.35,0.13,0.04
408,0.21,0.95,0.35,0.13,0.04
409,0.21,0.95,0.35,0.13,0.04
410,0.21,0.95,0.35,0.13,0.04
411,0.21,0.95,0.34,0.13,0.04
412,0.21,0.95,0.34,0.13,0.04
413,0.21,0.95,0.34,0.13,0.04
414,0.21,0.95,0.34,0.13,0.04
415,0.27,0.94,0.36,0.16,0.06
416,0.21,0.95,0.34,0.13,0.04
417,0.22,0.95,0.34,0.13,0.04
418,0.21,0.94,0.34,0.13,0.04
419,0.21,0.94,0.34,0.13,0.04
420,0.22,0.94,0.34,0.13,0.04
421,0.21,0.94,0.34,0.13,0.04
422,0.21,0.94,0.34,0.14,0.04
423,0.21,0.95,0.34,0.14,0.04
424,0.21,0.94,0.35,0.13,0.04
425,0.21,0.94,0.35,0.13,0.04
426,0.21,0.94,0.35,0.13,0.04
427,0.21,0.94,0.35,0.13,0.04
428,0.21,0.94,0.35,0.13,0.04
429,0.21,0.94,0.35,0.13,0.04
430,0.21,0.94,0.35,0.13,0.04
431,0.21,0.94,0.35,0.13,0.04
432,0.21,0.94,0.34,0.13,0.04
433,0.21,0.94,0.35,0.14,0.04
434,0.21,0.95,0.34,0.14,0.04
435,0.21,0.95,0.34,0.14,0.04
436,0.26,0.93,0.36,0.16,0.06
437,0.21,0.95,0.34,0.14,0.04
438,0.22,0.95,0.34,0.13,0.04
439,0.21,0.95,0.34,0.13,0.04
440,0.21,0.95,0.34,0.13,0.04
441,0.21,0.95,0.35,0.13,0.04
442,0.21,0.95,0.35,0.13,0.04
443,0.21,0.95,0.35,0.13,0.04
444,0.21,0.95,0.35,0.13,0.04
445,0.21,0.95,0.35,0.13,0.04
446,0.21,0.95,0.34,0.14,0.06
447,0.21,0.95,0.34,0.14,0.04
448,0.21,0.95,0.34,0.14,0.04
449,0.21,0.95,0.34,0.14,0.04
450,0.21,0.95,0.34,0.13,0.04
451,0.21,0.95,0.34,0.13,0.04
452,0.21,0.95,0.34,0.13,0.04
453,0.21,0.95,0.34,0.13,0.04
454,0.21,0.95,0.35,0.14,0.04
455,0.21,0.95,0.35,0.14,0.04
456,0.21,0.95,0.35,0.13,0.04
457,0.24,0.94,0.36,0.16,0.06
458,0.21,0.95,0.35,0.14,0.04
459,0.21,0.95,0.35,0.14,0.04
460,0.21,0.95,0.35,0.14,0.04
461,0.21,0.95,0.35,0.14,0.04
462,0.21,0.95,0.35,0.14,0.04
463,0.21,0.95,0.36,0.14,0.04
464,0.21,0.95,0.36,0.14,0.04
465,0.21,0.95,0.36,0.14,0.04
466,0.21,0.95,0.36,0.13,0.04
467,0.21,0.95,0.36,0.13,0.06
468,0.22,0.94,0.36,0.13,0.04
469,0.22,0.95,0.36,0.13,0.04
470,0.22,0.95,0.36,0.13,0.04
471,0.22,0.96,0.37,0.13,0.04
472,0.22,0.96,0.37,0.14,0.04
473,0.22,0.96,0.37,0.14,0.04
