time,moisture0,moisture1,moisture2,moisture3,moisture4
631,0.19,0.52,0.47,0.12,0.02
632,0.2,0.56,0.47,0.13,0.03
633,0.2,0.57,0.47,0.13,0.03
634,0.2,0.56,0.46,0.13,0.03
635,0.2,0.6,0.47,0.16,0.04
636,0.2,0.57,0.46,0.13,0.03
637,0.2,0.59,0.46,0.13,0.03
638,0.2,0.59,0.49,0.13,0.03
639,0.2,0.59,0.49,0.12,0.03
640,0.2,0.6,0.49,0.12,0.03
641,0.2,0.6,0.49,0.12,0.03
642,0.2,0.58,0.49,0.12,0.03
643,0.2,0.59,0.49,0.12,0.03
644,0.2,0.58,0.48,0.12,0.03
645,0.2,0.57,0.48,0.12,0.03
646,0.2,0.58,0.48,0.12,0.03
647,0.2,0.6,0.48,0.12,0.03
648,0.2,0.61,0.48,0.12,0.03
649,0.2,0.6,0.48,0.12,0.03
650,0.2,0.6,0.48,0.12,0.03
651,0.2,0.6,0.48,0.12,0.03
652,0.2,0.6,0.48,0.12,0.03
653,0.2,0.62,0.48,0.12,0.03
654,0.2,0.58,0.48,0.12,0.03
655,0.2,0.57,0.48,0.12,0.03
656,0.2,0.59,0.49,0.15,0.04
657,0.2,0.54,0.48,0.12,0.03
658,0.2,0.53,0.47,0.12,0.03
659,0.2,0.54,0.47,0.12,0.03
660,0.2,0.53,0.47,0.11,0.02
661,0.2,0.54,0.48,0.12,0.03
662,0.2,0.53,0.48,0.12,0.03
663,0.2,0.52,0.48,0.12,0.02
664,0.2,0.57,0.48,0.12,0.03
665,0.2,0.59,0.48,0.12,0.03
666,0.2,0.59,0.48,0.12,0.03
667,0.2,0.57,0.47,0.12,0.03
668,0.2,0.59,0.47,0.12,0.03
669,0.2,0.57,0.48,0.12,0.03
670,0.2,0.56,0.48,0.11,0.03
671,0.2,0.54,0.48,0.12,0.03
672,0.2,0.52,0.47,0.12,0.02
673,0.2,0.55,0.47,0.13,0.03
674,0.2,0.57,0.47,0.12,0.03
675,0.2,0.55,0.47,0.12,0.03
676,0.2,0.57,0.47,0.12,0.03
677,0.2,0.59,0.48,0.13,0.04
678,0.2,0.57,0.47,0.11,0.03
679,0.2,0.58,0.47,0.11,0.03
680,0.2,0.59,0.47,0.12,0.03
681,0.2,0.61,0.47,0.12,0.03
682,0.2,0.61,0.48,0.12,0.03
683,0.2,0.64,0.48,0.12,0.03
684,0.2,0.65,0.48,0.12,0.03
685,0.2,0.64,0.47,0.12,0.03
686,0.2,0.39,0.47,0.11,0.02
687,0.2,0.46,0.47,0.11,0.02
688,0.2,0.53,0.47,0.11,0.03
689,0.2,0.56,0.47,0.12,0.03
690,0.2,0.57,0.47,0.12,0.03
691,0.2,0.58,0.47,0.12,0.03
692,0.2,0.59,0.47,0.12,0.03
693,0.2,0.6,0.48,0.12,0.03
694,0.2,0.61,0.48,0.12,0.03
695,0.21,0.62,0.48,0.12,0.03
696,0.21,0.61,0.48,0.12,0.03
697,0.21,0.6,0.48,0.12,0.03
698,0.24,0.61,0.48,0.13,0.04
699,0.21,0.61,0.48,0.12,0.03
700,0.21,0.58,0.48,0.12,0.03
701,0.2,0.52,0.48,0.11,0.02
702,0.21,0.53,0.48,0.11,0.02
703,0.21,0.55,0.48,0.12,0.03
704,0.21,0.57,0.48,0.12,0.03
705,0.21,0.59,0.48,0.12,0.03
706,0.21,0.57,0.48,0.12,0.03
707,0.2,0.51,0.48,0.12,0.03
708,0.21,0.55,0.48,0.12,0.04
709,0.21,0.58,0.48,0.12,0.03
710,0.23,0.6,0.48,0.12,0.03
711,0.2,0.62,0.48,0.13,0.03
712,0.2,0.61,0.48,0.13,0.03
713,0.21,0.64,0.48,0.13,0.03
714,0.21,0.62,0.48,0.13,0.03
715,0.2,0.62,0.48,0.13,0.03
716,0.2,0.61,0.48,0.13,0.03
717,0.2,0.61,0.48,0.13,0.03
718,0.2,0.56,0.48,0.12,0.03
719,0.22,0.57,0.49,0.13,0.04
720,0.2,0.58,0.48,0.12,0.03
721,0.2,0.58,0.48,0.12,0.03
722,0.2,0.59,0.48,0.12,0.03
723,0.21,0.59,0.48,0.12,0.03
724,0.21,0.59,0.48,0.12,0.03
725,0.2,0.59,0.48,0.12,0.03
726,0.21,0.58,0.48,0.12,0.03
727,0.21,0.58,0.49,0.13,0.03
728,0.21,0.58,0.48,0.14,0.03
729,0.24,0.58,0.49,0.15,0.04
730,0.21,0.57,0.48,0.13,0.03
731,0.21,0.57,0.48,0.13,0.03
732,0.21,0.58,0.48,0.13,0.03
733,0.21,0.58,0.49,0.13,0.03
734,0.21,0.58,0.49,0.12,0.03
735,0.21,0.58,0.48,0.12,0.03
736,0.21,0.58,0.49,0.12,0.03
737,0.21,0.58,0.49,0.12,0.03
738,0.21,0.58,0.48,0.12,0.03
739,0.21,0.58,0.5,0.15,0.04
740,0.21,0.58,0.48,0.12,0.03
741,0.21,0.58,0.48,0.13,0.03
742,0.21,0.58,0.48,0.12,0.03
743,0.21,0.58,0.48,0.12,0.03
744,0.21,0.58,0.48,0.12,0.03
745,0.21,0.59,0.48,0.12,0.03
746,0.2,0.59,0.48,0.12,0.03
747,0.2,0.59,0.49,0.12,0.03
748,0.21,0.59,0.49,0.12,0.03
749,0.21,0.6,0.49,0.12,0.03
750,0.21,0.59,0.49,0.12,0.03
751,0.21,0.59,0.48,0.12,0.03
752,0.21,0.59,0.48,0.13,0.03
753,0.2,0.59,0.48,0.13,0.03
754,0.21,0.59,0.48,0.13,0.03
755,0.21,0.6,0.49,0.13,0.03
756,0.2,0.59,0.49,0.13,0.03
757,0.2,0.58,0.49,0.12,0.03
758,0.2,0.58,0.49,0.12,0.03
759,0.2,0.58,0.49,0.13,0.03
760,0.22,0.58,0.49,0.14,0.04
761,0.2,0.59,0.49,0.13,0.03
762,0.27,0.59,0.49,0.14,0.03
763,0.27,0.59,0.49,0.13,0.03
764,0.26,0.58,0.49,0.13,0.03
765,0.26,0.59,0.49,0.13,0.03
766,0.26,0.59,0.49,0.12,0.03
767,0.26,0.6,0.49,0.12,0.03
768,0.27,0.59,0.49,0.12,0.03
769,0.27,0.59,0.49,0.12,0.03
770,0.27,0.59,0.49,0.14,0.04
771,0.28,0.58,0.49,0.12,0.03
772,0.29,0.58,0.49,0.12,0.03
773,0.29,0.58,0.49,0.11,0.03
774,0.3,0.58,0.49,0.11,0.03
775,0.3,0.58,0.49,0.11,0.03
776,0.3,0.57,0.49,0.11,0.03
777,0.3,0.58,0.49,0.11,0.03
778,0.31,0.57,0.49,0.11,0.03
779,0.31,0.57,0.49,0.11,0.03
780,0.31,0.57,0.49,0.11,0.04
781,0.32,0.57,0.49,0.11,0.03
782,0.32,0.57,0.49,0.11,0.03
783,0.32,0.56,0.49,0.11,0.03
784,0.32,0.56,0.49,0.11,0.03
785,0.32,0.56,0.49,0.11,0.03
786,0.32,0.57,0.49,0.12,0.03
787,0.33,0.56,0.49,0.12,0.03
788,0.33,0.56,0.49,0.12,0.03
789,0.33,0.56,0.49,0.12,0.03
790,0.33,0.56,0.49,0.12,0.03
791,0.33,0.56,0.49,0.12,0.03
792,0.33,0.57,0.49,0.12,0.03
793,0.33,0.56,0.49,0.12,0.03
794,0.33,0.58,0.49,0.12,0.03
795,0.33,0.57,0.49,0.12,0.03
796,0.33,0.58,0.49,0.12,0.03
797,0.33,0.58,0.49,0.12,0.03
798,0.33,0.58,0.49,0.12,0.02
799,0.33,0.58,0.49,0.12,0.03
800,0.33,0.57,0.49,0.12,0.03
801,0.35,0.58,0.49,0.13,0.04
802,0.34,0.58,0.49,0.12,0.03
803,0.34,0.59,0.49,0.11,0.03
804,0.34,0.58,0.49,0.11,0.03
805,0.34,0.58,0.49,0.12,0.03
806,0.34,0.59,0.49,0.12,0.03
807,0.34,0.58,0.49,0.12,0.03
808,0.34,0.59,0.49,0.12,0.03
809,0.34,0.59,0.49,0.12,0.03
810,0.34,0.57,0.49,0.12,0.03
811,0.34,0.57,0.5,0.13,0.04
812,0.34,0.59,0.49,0.12,0.03
813,0.34,0.59,0.49,0.11,0.03
814,0.34,0.59,0.49,0.12,0.03
815,0.34,0.58,0.49,0.12,0.02
816,0.33,0.58,0.49,0.12,0.03
817,0.33,0.58,0.49,0.12,0.03
818,0.33,0.57,0.49,0.12,0.03
819,0.33,0.55,0.49,0.12,0.03
820,0.33,0.55,0.49,0.12,0.02
821,0.33,0.58,0.49,0.12,0.04
822,0.33,0.58,0.49,0.12,0.03
823,0.33,0.58,0.49,0.12,0.03
824,0.33,0.57,0.49,0.12,0.03
825,0.33,0.57,0.49,0.12,0.03
826,0.33,0.55,0.49,0.12,0.03
827,0.33,0.56,0.49,0.12,0.02
828,0.33,0.56,0.49,0.12,0.03
829,0.33,0.57,0.49,0.12,0.03
830,0.33,0.59,0.49,0.12,0.03
831,0.33,0.59,0.49,0.11,0.03
832,0.34,0.6,0.49,0.13,0.03
833,0.33,0.6,0.49,0.11,0.03
834,0.33,0.6,0.49,0.11,0.02
835,0.33,0.6,0.49,0.11,0.02
836,0.33,0.6,0.49,0.1,0.03
837,0.33,0.59,0.49,0.1,0.03
838,0.33,0.6,0.49,0.1,0.03
839,0.33,0.62,0.49,0.1,0.03
840,0.33,0.59,0.49,0.11,0.03
841,0.33,0.59,0.49,0.11,0.03
842,0.36,0.61,0.5,0.13,0.04
843,0.33,0.6,0.49,0.12,0.03
844,0.33,0.58,0.49,0.13,0.03
845,0.33,0.58,0.49,0.13,0.03
846,0.33,0.63,0.49,0.13,0.03
847,0.33,0.62,0.49,0.12,0.03
848,0.33,0.6,0.49,0.12,0.03
849,0.33,0.61,0.49,0.12,0.03
850,0.33,0.62,0.49,0.12,0.03
851,0.33,0.61,0.49,0.11,0.03
852,0.33,0.61,0.49,0.14,0.04
853,0.33,0.62,0.49,0.11,0.02
854,0.33,0.58,0.49,0.11,0.02
855,0.33,0.61,0.49,0.11,0.03
856,0.33,0.61,0.5,0.11,0.02
857,0.33,0.62,0.5,0.11,0.02
858,0.33,0.62,0.5,0.11,0.03
859,0.33,0.6,0.5,0.11,0.02
860,0.33,0.59,0.5,0.11,0.02
861,0.33,0.59,0.5,0.11,0.03
862,0.33,0.58,0.5,0.11,0.02
863,0.33,0.59,0.5,0.11,0.03
864,0.33,0.59,0.5,0.11,0.03
865,0.33,0.58,0.5,0.11,0.02
866,0.32,0.5,0.5,0.12,0.02
867,0.33,0.57,0.5,0.12,0.03
868,0.33,0.58,0.5,0.12,0.02
869,0.33,0.55,0.5,0.13,0.03
870,0.32,0.55,0.5,0.14,0.03
871,0.32,0.5,0.5,0.13,0.02
872,0.32,0.52,0.5,0.13,0.02
873,0.33,0.5,0.5,0.13,0.03
874,0.32,0.5,0.5,0.12,0.02
875,0.32,0.48,0.5,0.11,0.02
876,0.32,0.43,0.5,0.11,0.02
877,0.32,0.34,0.5,0.11,0.02
878,0.31,0.35,0.5,0.11,0.02
879,0.31,0.34,0.49,0.1,0.02
880,0.31,0.33,0.49,0.1,0.02
881,0.31,0.33,0.49,0.1,0.02
882,0.31,0.33,0.49,0.1,0.02
883,0.34,0.34,0.49,0.12,0.03
884,0.31,0.33,0.49,0.1,0.02
885,0.31,0.33,0.49,0.1,0.02
886,0.31,0.33,0.49,0.11,0.02
887,0.31,0.33,0.49,0.11,0.02
888,0.3,0.33,0.49,0.11,0.02
889,0.3,0.33,0.49,0.11,0.02
890,0.3,0.33,0.5,0.11,0.02
891,0.3,0.33,0.49,0.12,0.02
892,0.3,0.33,0.5,0.13,0.02
893,0.3,0.33,0.5,0.13,0.03
894,0.3,0.33,0.5,0.13,0.02
895,0.3,0.34,0.5,0.12,0.02
896,0.3,0.34,0.5,0.12,0.02
897,0.3,0.34,0.5,0.12,0.02
898,0.3,0.34,0.5,0.12,0.02
899,0.3,0.34,0.5,0.11,0.02
900,0.3,0.35,0.5,0.11,0.02
901,0.3,0.36,0.5,0.11,0.02
902,0.3,0.35,0.5,0.11,0.02
903,0.3,0.36,0.5,0.11,0.02
904,0.3,0.37,0.5,0.11,0.02
905,0.29,0.37,0.5,0.11,0.02
906,0.29,0.38,0.5,0.11,0.02
907,0.29,0.39,0.5,0.11,0.02
908,0.29,0.4,0.5,0.11,0.02
909,0.29,0.41,0.5,0.11,0.02
910,0.29,0.42,0.5,0.11,0.02
911,0.29,0.42,0.5,0.1,0.02
912,0.29,0.43,0.5,0.1,0.02
913,0.29,0.44,0.5,0.1,0.02
914,0.31,0.45,0.5,0.12,0.03
915,0.29,0.45,0.5,0.1,0.02
916,0.29,0.45,0.5,0.1,0.02
917,0.29,0.45,0.5,0.11,0.02
918,0.29,0.46,0.5,0.1,0.02
919,0.29,0.46,0.5,0.1,0.02
920,0.29,0.46,0.5,0.11,0.02
921,0.29,0.47,0.5,0.11,0.02
922,0.29,0.47,0.5,0.13,0.02
923,0.29,0.47,0.5,0.13,0.02
924,0.29,0.47,0.51,0.15,0.03
925,0.29,0.47,0.5,0.13,0.02
926,0.29,0.47,0.5,0.12,0.02
927,0.29,0.48,0.5,0.11,0.02
928,0.29,0.48,0.5,0.11,0.02
929,0.29,0.48,0.5,0.11,0.02
930,0.29,0.48,0.5,0.1,0.02
931,0.29,0.48,0.5,0.1,0.02
932,0.29,0.49,0.5,0.1,0.02
933,0.3,0.5,0.5,0.1,0.02
934,0.3,0.47,0.5,0.1,0.03
935,0.29,0.47,0.5,0.1,0.02
936,0.29,0.48,0.5,0.11,0.02
937,0.29,0.47,0.5,0.11,0.02
938,0.29,0.48,0.5,0.11,0.02
939,0.29,0.48,0.5,0.11,0.02
940,0.29,0.48,0.5,0.11,0.02
941,0.29,0.48,0.5,0.12,0.02
942,0.29,0.48,0.5,0.12,0.02
943,0.29,0.48,0.5,0.12,0.02
944,0.29,0.47,0.5,0.11,0.02
945,0.29,0.48,0.5,0.11,0.02
946,0.29,0.48,0.5,0.12,0.02
947,0.29,0.48,0.5,0.12,0.02
948,0.29,0.46,0.5,0.12,0.02
949,0.29,0.46,0.5,0.11,0.02
950,0.29,0.46,0.5,0.11,0.02
951,0.29,0.44,0.5,0.11,0.02
952,0.29,0.43,0.5,0.11,0.02
953,0.29,0.4,0.5,0.11,0.02
954,0.29,0.39,0.5,0.1,0.02
955,0.29,0.4,0.51,0.12,0.03
956,0.29,0.34,0.5,0.1,0.02
957,0.29,0.34,0.5,0.1,0.02
958,0.29,0.34,0.5,0.1,0.02
959,0.29,0.34,0.5,0.1,0.02
960,0.29,0.34,0.5,0.11,0.02
961,0.29,0.34,0.5,0.1,0.02
962,0.29,0.34,0.5,0.1,0.02
963,0.29,0.34,0.5,0.11,0.02
964,0.29,0.34,0.5,0.1,0.02
965,0.29,0.35,0.5,0.1,0.02
966,0.29,0.35,0.5,0.11,0.02
967,0.29,0.35,0.5,0.12,0.02
968,0.29,0.35,0.5,0.14,0.02
969,0.29,0.35,0.5,0.15,0.02
970,0.29,0.35,0.5,0.15,0.02
971,0.29,0.36,0.5,0.15,0.02
972,0.29,0.36,0.5,0.14,0.02
973,0.29,0.36,0.5,0.14,0.02
974,0.29,0.36,0.5,0.14,0.02
975,0.29,0.36,0.5,0.13,0.02
976,0.31,0.38,0.5,0.14,0.03
977,0.29,0.37,0.5,0.13,0.02
978,0.29,0.38,0.5,0.12,0.02
979,0.29,0.38,0.5,0.12,0.02
980,0.29,0.37,0.5,0.11,0.02
981,0.29,0.38,0.5,0.11,0.02
982,0.29,0.38,0.5,0.11,0.02
983,0.29,0.38,0.5,0.11,0.02
984,0.29,0.37,0.5,0.1,0.02
985,0.29,0.38,0.5,0.1,0.02
986,0.29,0.38,0.5,0.1,0.03
987,0.29,0.38,0.5,0.1,0.02
988,0.29,0.38,0.5,0.1,0.02
989,0.29,0.38,0.5,0.1,0.02
990,0.29,0.38,0.5,0.1,0.02
991,0.29,0.37,0.5,0.1,0.02
992,0.29,0.38,0.5,0.1,0.02
993,0.28,0.38,0.5,0.11,0.02
994,0.29,0.38,0.5,0.11,0.02
995,0.29,0.38,0.5,0.11,0.02
996,0.29,0.38,0.5,0.11,0.02
997,0.31,0.39,0.51,0.12,0.03
998,0.29,0.38,0.5,0.11,0.02
999,0.29,0.38,0.5,0.11,0.02
1000,0.29,0.38,0.5,0.11,0.02
1001,0.29,0.38,0.5,0.11,0.02
1002,0.29,0.38,0.5,0.11,0.02
1003,0.29,0.38,0.5,0.11,0.02
1004,0.29,0.39,0.5,0.11,0.02
1005,0.29,0.39,0.5,0.11,0.02
1006,0.29,0.38,0.5,0.12,0.02
1007,0.29,0.38,0.5,0.12,0.03
1008,0.29,0.38,0.5,0.12,0.02
1009,0.29,0.38,0.5,0.12,0.02
1010,0.29,0.38,0.5,0.12,0.02
1011,0.29,0.38,0.5,0.13,0.02
1012,0.29,0.4,0.5,0.13,0.02
1013,0.29,0.39,0.5,0.13,0.02
1014,0.29,0.39,0.5,0.13,0.02
1015,0.29,0.4,0.5,0.13,0.02
1016,0.29,0.41,0.5,0.12,0.02
1017,0.29,0.42,0.5,0.12,0.02
1018,0.31,0.43,0.51,0.13,0.03
1019,0.29,0.43,0.5,0.11,0.02
1020,0.29,0.43,0.5,0.11,0.02
1021,0.29,0.43,0.5,0.11,0.02
1022,0.29,0.43,0.5,0.1,0.02
1023,0.29,0.42,0.5,0.1,0.02
1024,0.29,0.42,0.5,0.1,0.02
1025,0.29,0.42,0.5,0.11,0.02
1026,0.29,0.42,0.5,0.11,0.02
1027,0.29,0.42,0.5,0.11,0.02
1028,0.29,0.42,0.5,0.11,0.03
1029,0.29,0.42,0.5,0.12,0.02
1030,0.29,0.41,0.5,0.12,0.02
1031,0.29,0.43,0.5,0.12,0.02
1032,0.29,0.41,0.5,0.13,0.02
1033,0.29,0.41,0.5,0.13,0.02
1034,0.29,0.41,0.5,0.13,0.02
1035,0.29,0.41,0.5,0.13,0.02
1036,0.29,0.4,0.5,0.14,0.02
1037,0.29,0.39,0.5,0.14,0.02
1038,0.29,0.42,0.5,0.13,0.02
1039,0.31,0.39,0.51,0.14,0.03
1040,0.29,0.42,0.5,0.13,0.02
1041,0.29,0.42,0.51,0.13,0.02
1042,0.29,0.42,0.51,0.12,0.02
1043,0.29,0.42,0.51,0.12,0.02
1044,0.29,0.41,0.51,0.12,0.02
1045,0.29,0.41,0.51,0.12,0.02
1046,0.29,0.41,0.51,0.11,0.02
1047,0.29,0.38,0.51,0.11,0.02
1048,0.29,0.39,0.51,0.11,0.02
1049,0.29,0.38,0.51,0.14,0.03
1050,0.29,0.4,0.51,0.11,0.02
1051,0.29,0.41,0.51,0.11,0.02
1052,0.29,0.41,0.51,0.11,0.02
1053,0.29,0.42,0.51,0.11,0.02
1054,0.29,0.4,0.51,0.1,0.02
1055,0.29,0.4,0.51,0.11,0.02
1056,0.29,0.39,0.51,0.11,0.02
1057,0.29,0.42,0.51,0.11,0.02
1058,0.29,0.4,0.51,0.11,0.02
1059,0.29,0.42,0.51,0.11,0.02
1060,0.3,0.42,0.51,0.12,0.03
1061,0.29,0.42,0.51,0.11,0.02
1062,0.29,0.39,0.51,0.11,0.02
1063,0.29,0.42,0.51,0.12,0.02
1064,0.29,0.39,0.51,0.12,0.02
1065,0.29,0.39,0.51,0.12,0.02
1066,0.29,0.41,0.51,0.12,0.02
1067,0.29,0.39,0.51,0.12,0.02
1068,0.29,0.39,0.51,0.12,0.02
1069,0.29,0.42,0.51,0.13,0.02
1070,0.29,0.39,0.51,0.12,0.03
1071,0.29,0.42,0.51,0.12,0.02
1072,0.29,0.39,0.51,0.13,0.02
1073,0.29,0.41,0.51,0.13,0.02
1074,0.29,0.39,0.51,0.13,0.02
1075,0.29,0.42,0.51,0.13,0.02
1076,0.29,0.4,0.52,0.13,0.02
1077,0.29,0.41,0.52,0.13,0.02
1078,0.29,0.39,0.52,0.12,0.02
1079,0.29,0.42,0.52,0.13,0.02
1080,0.29,0.39,0.52,0.13,0.02
1081,0.31,0.4,0.52,0.16,0.03
1082,0.29,0.41,0.52,0.14,0.02
1083,0.29,0.4,0.52,0.14,0.02
1084,0.29,0.39,0.52,0.14,0.02
1085,0.29,0.41,0.52,0.13,0.02
1086,0.29,0.42,0.52,0.13,0.02
1087,0.29,0.39,0.52,0.12,0.02
1088,0.29,0.4,0.52,0.12,0.02
1089,0.29,0.4,0.52,0.11,0.02
1090,0.29,0.42,0.52,0.11,0.02
1091,0.29,0.42,0.52,0.14,0.03
1092,0.29,0.4,0.52,0.1,0.02
1093,0.29,0.39,0.52,0.1,0.02
1094,0.29,0.42,0.52,0.11,0.02
1095,0.29,0.41,0.52,0.11,0.02
1096,0.29,0.41,0.52,0.11,0.02
1097,0.29,0.4,0.52,0.11,0.02
1098,0.29,0.4,0.52,0.11,0.02
1099,0.29,0.39,0.52,0.12,0.02
1100,0.29,0.4,0.52,0.12,0.02
1101,0.29,0.4,0.52,0.11,0.02
1102,0.3,0.43,0.53,0.12,0.03
1103,0.29,0.42,0.52,0.12,0.02
1104,0.29,0.4,0.52,0.12,0.02
1105,0.29,0.4,0.52,0.12,0.02
1106,0.29,0.41,0.52,0.13,0.02
1107,0.29,0.4,0.52,0.13,0.02
1108,0.29,0.4,0.52,0.13,0.02
1109,0.29,0.41,0.52,0.13,0.02
1110,0.29,0.4,0.52,0.13,0.02
1111,0.29,0.41,0.52,0.12,0.02
1112,0.29,0.42,0.53,0.15,0.03
1113,0.29,0.42,0.52,0.13,0.02
1114,0.29,0.41,0.52,0.14,0.02
1115,0.29,0.4,0.52,0.14,0.02
1116,0.29,0.42,0.52,0.13,0.02
1117,0.29,0.42,0.52,0.13,0.02
1118,0.29,0.42,0.52,0.13,0.02
1119,0.29,0.43,0.52,0.12,0.02
1120,0.29,0.41,0.52,0.12,0.02
1121,0.29,0.41,0.52,0.12,0.02
1122,0.29,0.41,0.52,0.12,0.02
1123,0.29,0.41,0.52,0.12,0.02
1124,0.29,0.42,0.52,0.12,0.02
1125,0.29,0.41,0.52,0.11,0.02
1126,0.29,0.42,0.52,0.11,0.02
1127,0.29,0.4,0.52,0.11,0.02
1128,0.29,0.4,0.52,0.12,0.02
1129,0.29,0.4,0.52,0.12,0.02
1130,0.29,0.41,0.52,0.11,0.02
1131,0.29,0.41,0.52,0.11,0.02
1132,0.29,0.41,0.52,0.12,0.02
1133,0.29,0.41,0.52,0.15,0.03
1134,0.29,0.41,0.52,0.12,0.02
1135,0.29,0.42,0.52,0.12,0.02
1136,0.29,0.41,0.52,0.13,0.02
1137,0.29,0.42,0.52,0.14,0.02
1138,0.29,0.43,0.52,0.14,0.02
1139,0.29,0.42,0.52,0.14,0.02
1140,0.29,0.43,0.52,0.14,0.02
1141,0.29,0.42,0.52,0.14,0.02
1142,0.29,0.43,0.52,0.13,0.02
1143,0.29,0.43,0.52,0.13,0.02
1144,0.3,0.42,0.53,0.14,0.03
1145,0.29,0.43,0.53,0.13,0.02
1146,0.29,0.43,0.53,0.12,0.02
1147,0.29,0.43,0.53,0.12,0.02
1148,0.29,0.43,0.53,0.12,0.02
1149,0.29,0.43,0.52,0.12,0.02
1150,0.29,0.43,0.52,0.12,0.02
1151,0.29,0.43,0.53,0.12,0.02
1152,0.29,0.43,0.53,0.12,0.02
1153,0.29,0.43,0.53,0.12,0.02
1154,0.29,0.42,0.54,0.13,0.03
1155,0.29,0.42,0.53,0.11,0.02
1156,0.29,0.42,0.53,0.11,0.02
1157,0.29,0.44,0.53,0.11,0.02
1158,0.29,0.44,0.53,0.12,0.02
1159,0.29,0.44,0.53,0.12,0.02
1160,0.29,0.44,0.53,0.13,0.02
1161,0.29,0.44,0.53,0.13,0.02
1162,0.29,0.44,0.53,0.14,0.02
1163,0.29,0.44,0.53,0.14,0.02
1164,0.29,0.45,0.53,0.14,0.02
1165,0.29,0.44,0.53,0.14,0.02
1166,0.29,0.44,0.53,0.14,0.02
1167,0.29,0.44,0.53,0.13,0.02
1168,0.29,0.44,0.53,0.13,0.02
1169,0.29,0.44,0.53,0.13,0.02
1170,0.29,0.42,0.53,0.13,0.02
1171,0.29,0.42,0.53,0.13,0.02
1172,0.29,0.41,0.53,0.13,0.02
1173,0.29,0.44,0.53,0.13,0.02
1174,0.29,0.44,0.53,0.13,0.02
1175,0.3,0.44,0.53,0.13,0.03
1176,0.29,0.44,0.53,0.12,0.02
1177,0.29,0.43,0.53,0.12,0.02
1178,0.29,0.44,0.53,0.12,0.02
1179,0.29,0.43,0.53,0.12,0.02
1180,0.29,0.43,0.53,0.12,0.02
1181,0.29,0.43,0.53,0.12,0.02
1182,0.29,0.43,0.53,0.12,0.02
1183,0.29,0.43,0.53,0.12,0.02
1184,0.29,0.43,0.53,0.12,0.02
1185,0.31,0.44,0.54,0.14,0.03
1186,0.29,0.41,0.53,0.13,0.02
1187,0.28,0.45,0.53,0.13,0.02
1188,0.28,0.41,0.53,0.13,0.02
1189,0.28,0.45,0.53,0.13,0.02
1190,0.28,0.44,0.53,0.13,0.02
1191,0.28,0.43,0.53,0.13,0.02
1192,0.28,0.44,0.53,0.13,0.02
1193,0.28,0.44,0.53,0.13,0.02
1194,0.29,0.42,0.53,0.13,0.02
1195,0.29,0.43,0.53,0.14,0.03
1196,0.29,0.44,0.53,0.14,0.02
1197,0.29,0.44,0.53,0.16,0.02
1198,0.29,0.42,0.53,0.15,0.02
1199,0.28,0.44,0.53,0.15,0.02
1200,0.28,0.41,0.53,0.15,0.02
1201,0.28,0.4,0.53,0.14,0.02
1202,0.28,0.4,0.53,0.14,0.02
1203,0.29,0.41,0.53,0.13,0.02
1204,0.28,0.41,0.53,0.13,0.02
1205,0.28,0.41,0.53,0.13,0.02
1206,0.28,0.41,0.53,0.12,0.02
1207,0.28,0.41,0.53,0.12,0.02
1208,0.28,0.41,0.53,0.12,0.02
1209,0.28,0.41,0.53,0.12,0.02
1210,0.28,0.41,0.53,0.12,0.02
1211,0.28,0.41,0.53,0.12,0.02
1212,0.28,0.42,0.53,0.12,0.02
1213,0.29,0.42,0.53,0.12,0.02
1214,0.29,0.42,0.53,0.12,0.02
1215,0.29,0.42,0.53,0.12,0.02
1216,0.3,0.43,0.53,0.13,0.03
1217,0.29,0.42,0.53,0.12,0.02
1218,0.29,0.44,0.53,0.12,0.02
1219,0.29,0.44,0.53,0.13,0.02
1220,0.29,0.44,0.53,0.13,0.02
1221,0.29,0.44,0.53,0.13,0.02
1222,0.29,0.44,0.53,0.14,0.02
1223,0.29,0.43,0.53,0.13,0.02
1224,0.29,0.43,0.53,0.13,0.02
1225,0.29,0.44,0.53,0.13,0.02
1226,0.29,0.45,0.53,0.14,0.03
1227,0.29,0.45,0.53,0.12,0.02
1228,0.29,0.43,0.53,0.12,0.02
1229,0.29,0.45,0.53,0.13,0.02
1230,0.29,0.44,0.53,0.12,0.02
1231,0.29,0.43,0.53,0.12,0.02
1232,0.29,0.45,0.53,0.11,0.02
1233,0.29,0.45,0.53,0.11,0.02
1234,0.29,0.44,0.53,0.11,0.02
1235,0.29,0.45,0.53,0.11,0.02
1236,0.29,0.45,0.53,0.12,0.03
1237,0.29,0.45,0.53,0.12,0.02
1238,0.29,0.45,0.53,0.12,0.02
1239,0.29,0.44,0.53,0.16,0.02
1240,0.28,0.46,0.53,0.17,0.02
1241,0.28,0.46,0.53,0.17,0.02
1242,0.28,0.45,0.53,0.16,0.02
1243,0.29,0.46,0.53,0.16,0.02
1244,0.29,0.45,0.53,0.16,0.02
1245,0.29,0.44,0.53,0.15,0.02
1246,0.29,0.45,0.53,0.14,0.02
1247,0.29,0.46,0.53,0.14,0.02
1248,0.29,0.46,0.53,0.13,0.02
1249,0.29,0.46,0.53,0.13,0.02
1250,0.29,0.46,0.53,0.13,0.02
1251,0.29,0.46,0.53,0.13,0.02
1252,0.29,0.46,0.53,0.13,0.02
1253,0.29,0.44,0.53,0.13,0.02
