epoch,total_loss,data_loss,physics_loss,val_loss
0,0.08366722613573074,0.07968226820230484,0.07969911396503448,0.05811678245663643
1,0.05390775203704834,0.051360808312892914,0.050938889384269714,0.09332119673490524
2,0.061827704310417175,0.05890972167253494,0.05835963785648346,0.048970721662044525
3,0.0206841379404068,0.019725197926163673,0.019178811460733414,0.010940350592136383
4,0.008365251123905182,0.00799131765961647,0.00747866602614522,0.0021727022249251604
5,0.025964606553316116,0.024752382189035416,0.02424447610974312,0.0025338553823530674
6,0.032703910022974014,0.031172992661595345,0.03061833046376705,0.0024680979549884796
7,0.02045506052672863,0.019511384889483452,0.018873505294322968,0.00916709192097187
8,0.007840142585337162,0.007501761894673109,0.006767605431377888,0.024254119023680687
9,0.0065558250062167645,0.006282922811806202,0.005458046682178974,0.03811662271618843
10,0.012737220153212547,0.012173441238701344,0.011275582946836948,0.040150389075279236
11,0.016393166035413742,0.015657663345336914,0.014710046350955963,0.029450995847582817
12,0.013260936364531517,0.012675904668867588,0.011700626462697983,0.014235073700547218
13,0.006910386960953474,0.006628283299505711,0.005642074625939131,0.004081773106008768
14,0.0032334730494767427,0.003126528114080429,0.002138896845281124,0.0028649296145886183
15,0.004665940534323454,0.004490775987505913,0.0035032909363508224,0.0068119787611067295
16,0.00841789785772562,0.008064333349466324,0.007071281783282757,0.009311764501035213
17,0.009958178736269474,0.009532011114060879,0.008523354306817055,0.0076225921511650085
18,0.00789625197649002,0.007569489534944296,0.006535244639962912,0.004098915494978428
19,0.004627497401088476,0.004457913339138031,0.003391677513718605,0.002389870584011078
20,0.0031439438462257385,0.003046587575227022,0.001947124139405787,0.0037142056971788406
21,0.004148665815591812,0.004004867747426033,0.002875956706702709,0.0062923189252614975
22,0.0059203291311860085,0.005693215411156416,0.004542273934930563,0.00759306363761425
23,0.0064100720919668674,0.006160260643810034,0.004996226169168949,0.006688533816486597
24,0.005177565850317478,0.004986675921827555,0.0038177957758307457,0.0045920670963823795
25,0.003446545684710145,0.0033380400855094194,0.002170110819861293,0.0028864771593362093
26,0.0026879392098635435,0.0026154043152928352,0.001450696843676269,0.0022805901244282722
27,0.003258846001699567,0.0031590440776199102,0.0019960396457463503,0.0023353295400738716
28,0.0042558712884783745,0.004108732100576162,0.0029427867848426104,0.0023435091134160757
29,0.004553711973130703,0.004392828792333603,0.0032176608219742775,0.0022563813254237175
30,0.0038928561843931675,0.003764173248782754,0.002573659410700202,0.0026707113720476627
31,0.0029641876462846994,0.0028806691989302635,0.0016703706933185458,0.004023773595690727
32,0.002590503776445985,0.002525811782106757,0.001293840236030519,0.005931869614869356
33,0.0029330493416637182,0.0028530401177704334,0.0016001863405108452,0.0073637706227600574
34,0.0034507326781749725,0.0033469260670244694,0.002076130360364914,0.007471004966646433
35,0.0035298787988722324,0.003422963200137019,0.002138309646397829,0.00626432616263628
36,0.003084450727328658,0.0029992135241627693,0.001704743830487132,0.004532678984105587
37,0.002556215040385723,0.0024964590556919575,0.0011951205087825656,0.003159348852932453
38,0.0024044846650213003,0.00235222396440804,0.0010452126152813435,0.0025004474446177483
39,0.0026500558014959097,0.0025864033959805965,0.001273048808798194,0.002340601058676839
40,0.002917455742135644,0.002841470530256629,0.0015197023749351501,0.0023396648466587067
41,0.0028761003632098436,0.0028026076033711433,0.0014698549639433622,0.00242769718170166
42,0.0025746121536940336,0.002516096690669656,0.001170310308225453,0.0027584019117057323
43,0.0023300168104469776,0.0022838038858026266,0.0009242588421329856,0.0033728000707924366
44,0.0023509839083999395,0.0023043828550726175,0.0009320217068307102,0.0040167346596717834
45,0.002532502869144082,0.0024777527432888746,0.0010950036812573671,0.004323713015764952
46,0.0026164494920521975,0.002558039501309395,0.0011681992327794433,0.00414113886654377
47,0.002492991741746664,0.0024406397715210915,0.0010470370762050152,0.00364166428335011
48,0.002295998390763998,0.002253084210678935,0.0008582823211327195,0.003134773811325431
49,0.0022188825532794,0.0021796375513076782,0.0007849022513255477,0.0028173436876386404
50,0.0022930719424039125,0.0022502983920276165,0.000855470891110599,0.002715923124924302
51,0.0023790907580405474,0.0023322864435613155,0.0009360864642076194,0.0028117308393120766
52,0.0023503717966377735,0.0023050857707858086,0.0009057207498699427,0.0031341901049017906
53,0.002234270330518484,0.00219474034383893,0.000790597521699965,0.0036927692126482725
54,0.002155652269721031,0.00212013628333807,0.0007103183888830245,0.004354039207100868
55,0.0021775534842163324,0.0021412628702819347,0.0007258131518028677,0.004853282123804092
56,0.002238066168501973,0.0021991210523992777,0.000778901216108352,0.004910063464194536
57,0.002239874331280589,0.0022009259555488825,0.0007789654773660004,0.004771794658154249
58,0.002206761622801423,0.002169444691389799,0.0007463378715328872,0.004493298474699259
59,0.002159161726012826,0.002124144695699215,0.000700338336173445,0.0041544330306351185
60,0.002123315120115876,0.002090027555823326,0.0006657521589659154,0.003830705536529422
61,0.0021138996817171574,0.0020810833666473627,0.0006563265924341977,0.0035736013669520617
62,0.00212658429518342,0.002093198010697961,0.0006677247583866119,0.0034064927604049444
63,0.002143826335668564,0.0021096719428896904,0.0006830881466157734,0.003332218388095498
64,0.0021483171731233597,0.0021140240132808685,0.000685862556565553,0.0033431712072342634
65,0.002134228590875864,0.0021007023751735687,0.0006705252453684807,0.0034263664856553078
66,0.002109219552949071,0.0020769955590367317,0.0006444818573072553,0.0035623658914119005
67,0.002087197732180357,0.0020561402197927237,0.0006211511790752411,0.0037225971464067698
68,0.00207803538069129,0.0020475287456065416,0.0006101345061324537,0.0038709407672286034
69,0.0020815664902329445,0.002050993265584111,0.000611464842222631,0.003971686586737633
70,0.0020892920438200235,0.0020584322046488523,0.0006171956774778664,0.004000660963356495
71,0.0020914755295962095,0.0020605686586350203,0.0006181376520544291,0.003953392151743174
72,0.0020839718636125326,0.0020534542854875326,0.0006103532505221665,0.0038457615301012993
73,0.0020701379980891943,0.002040289109572768,0.00059697893448174,0.0037069946993142366
74,0.0020572443027049303,0.002028003102168441,0.0005848250584676862,0.003569132648408413
75,0.002050726907327771,0.0020217804703861475,0.0005789267015643418,0.0034582617226988077
76,0.0020506512373685837,0.0020216910634189844,0.0005792040610685945,0.0033905627205967903
77,0.002052547410130501,0.0020234831608831882,0.0005812827730551362,0.0033727141562849283
78,0.0020513550844043493,0.0020223415922373533,0.0005802707746624947,0.0034038438461720943
79,0.002045169472694397,0.0020164528395980597,0.0005743338842876256,0.0034767109900712967
80,0.0020361028145998716,0.0020078271627426147,0.0005655123386532068,0.0035777692683041096
81,0.002028081566095352,0.002000201027840376,0.0005576115800067782,0.0036878150422126055
82,0.0020236761774867773,0.001996018225327134,0.0005531596834771335,0.003784912172704935
83,0.0020224335603415966,0.0019948433618992567,0.0005518036778084934,0.003849575761705637
84,0.002021719003096223,0.0019941646605730057,0.0005510890041477978,0.0038703270256519318
85,0.0020190372597426176,0.001991604221984744,0.0005486606969498098,0.003846879117190838
86,0.002013867488130927,0.0019866672810167074,0.0005440062959678471,0.0037894616834819317
87,0.002007710514590144,0.0019807852804660797,0.0005385061958804727,0.0037147835828363895
88,0.00200260104611516,0.001975899562239647,0.0005340278730727732,0.0036406952422112226
89,0.00199945573695004,0.001972887199372053,0.0005313700530678034,0.003581762546673417
90,0.0019975530449301004,0.0019710641354322433,0.0005297803436405957,0.0035468731075525284
91,0.0019953602459281683,0.001968972384929657,0.0005277578602544963,0.003538722638040781
92,0.001991858007386327,0.001965641975402832,0.0005243225605227053,0.003554347902536392
93,0.0019872519187629223,0.0019612673204392195,0.0005196912679821253,0.0035861690994352102
94,0.0019826043862849474,0.001956858206540346,0.0005149227217771113,0.0036234918516129255
95,0.0019788562785834074,0.0019533075392246246,0.0005109731573611498,0.003654749831184745
96,0.001976101426407695,0.0019507016986608505,0.0005079935654066503,0.0036702435463666916
97,0.0019736585672944784,0.0019483893411234021,0.0005053849890828133,0.0036646719090640545
98,0.001970748184248805,0.0019456264562904835,0.0005024359561502934,0.003638398600742221
99,0.0019671388436108828,0.0019421923207119107,0.0004989314475096762,0.0035970015451312065
100,0.001963236602023244,0.001938474364578724,0.0004952443996444345,0.003549275454133749
101,0.0019596440251916647,0.0019350480288267136,0.0004919180646538734,0.0035045912954956293
102,0.0019566286355257034,0.001932170009240508,0.000489171186927706,0.0034706227015703917
103,0.0019539562053978443,0.0019296188838779926,0.0004867480893153697,0.003451937809586525
104,0.0019511673599481583,0.0019269578624516726,0.0004841900372412056,0.003449518932029605
105,0.0019479973707348108,0.0019239353714510798,0.00048123905435204506,0.003460974432528019
106,0.0019445618381723762,0.0019206610741093755,0.0004780164163094014,0.0034812334924936295
107,0.0019411969697102904,0.0019174537155777216,0.00047486397670581937,0.003492442425340414
108,0.0019396239658817649,0.0019159535877406597,0.0004734074173029512,0.003503029001876712
109,0.0019381295423954725,0.001914527267217636,0.00047204518341459334,0.0035115249920636415
110,0.0019366855267435312,0.001913147745653987,0.0004707560583483428,0.003516844240948558
111,0.0019352497765794396,0.0019117746269330382,0.00046950203250162303,0.0035183916334062815
112,0.0019337850390002131,0.0019103726372122765,0.00046824905439279974,0.0035160891711711884
113,0.001932276994921267,0.0019089279230684042,0.0004669811169151217,0.0035103491973131895
114,0.0019307336769998074,0.0019074485171586275,0.0004657033714465797,0.0035019770730286837
115,0.0019291817443445325,0.0019059600308537483,0.00046443514293059707,0.003492014016956091
116,0.0019276466919109225,0.0019044869113713503,0.00046319534885697067,0.0034815899562090635
117,0.0019261441193521023,0.0019030445255339146,0.0004619929241016507,0.0034717503003776073
118,0.0019246741430833936,0.0019016331061720848,0.00046082178596407175,0.003463354427367449
119,0.001923221629112959,0.0019002384506165981,0.000459663278888911,0.003456969279795885
120,0.0019217684166505933,0.0018988435622304678,0.0004584960697684437,0.0034528349060565233
121,0.0019202998373657465,0.0018974345875903964,0.00045730569399893284,0.0034508684184402227
122,0.0019188125152140856,0.001896008150652051,0.00045608790242113173,0.0034506982192397118
123,0.0019173122709617019,0.0018945697229355574,0.00045485023292712867,0.0034517436288297176
124,0.001915811444632709,0.00189313106238842,0.00045360709191299975,0.0034532893914729357
125,0.0019143200479447842,0.0018917014822363853,0.0004523715761024505,0.0034546013921499252
126,0.0019128432031720877,0.0018902856390923262,0.0004511516017373651,0.003455017926171422
127,0.0019113789312541485,0.0018888815538957715,0.0004499485658016056,0.003454037243500352
128,0.0019099190831184387,0.0018874811939895153,0.00044875769526697695,0.00345137482509017
129,0.0019084560917690396,0.0018860774580389261,0.00044757340219803154,0.003446980146691203
130,0.0019069856498390436,0.0018846660386770964,0.0004463925724849105,0.0034410329535603523
131,0.0019055090378969908,0.0018832482164725661,0.0004452152643352747,0.003433900186792016
132,0.0019040298648178577,0.001881827600300312,0.000444044271716848,0.0034260766115039587
133,0.001902553252875805,0.0018804090796038508,0.00044288302888162434,0.0034180947113782167
134,0.0019010830437764525,0.001878996379673481,0.0004417332820594311,0.003410463919863105
135,0.0018996195867657661,0.0018775899661704898,0.00044059299398213625,0.003403603797778487
136,0.0018981605535373092,0.0018761876272037625,0.0004394585557747632,0.003397793974727392
137,0.0018967014038935304,0.0018747851718217134,0.0004383251944091171,0.003393157385289669
138,0.0018952407408505678,0.0018733812030404806,0.0004371902614366263,0.0033896525856107473
139,0.0018937767017632723,0.0018719739746302366,0.00043605343671515584,0.0033871042542159557
140,0.001892311149276793,0.0018705652328208089,0.00043491748510859907,0.0033852236811071634
141,0.001890846062451601,0.0018691567238420248,0.0004337856953497976,0.003383677452802658
142,0.0018893842352554202,0.0018677511252462864,0.0004326614725869149,0.0033821165561676025
